# Your watchlist. Format:  SYMBOL | Company Name | optional,aliases
# Generate the full NIFTY 500 with build_names.py (see repo root), then paste here.
# Names matter more than tickers — Google News matches names well, tickers badly.
# SYMBOL | Company Name | optional,aliases  (auto-generated; edit freely)
360ONE | 360 One Wam
3MINDIA | 3M India
AADHARHFC | AADHAR HOUSING FINANCE L
AARTIIND | Aarti Industries
AAVAS | Aavas Financiers
ABB | ABB India
ABBOTINDIA | Abbott India
ABCAPITAL | Aditya Birla Capital
ABDL | ALLIED BLEND N DISTILS L
ABFRL | Aditya Birla Fashion and Retail
ABLBL | ADITYA BIRLA LIFES BRAN L
ABREL | Aditya Birla Real Estate
ABSLAMC | Aditya Birla Sun Life AMC
ACC | ACC
ACE | Action Construction Equipment
ACMESOLAR | ACME Solar Holdings
ACUTAAS | Acutaas Chemicals
ADANIENSOL | Adani Energy Solutions
ADANIENT | Adani Enterprises
ADANIGREEN | Adani Green Energy
ADANIPORTS | Adani Ports and Special Economic Zone
ADANIPOWER | Adani Power
AEGISLOG | AEGIS LOGISTICS LIMITED
AEGISVOPAK | AEGIS VOPAK TERMINALS LTD
AFCONS | AFCONS INFRASTRUCTURE LTD
AFFLE | Affle 3i
AIAENG | AIA Engineering
AIIL | Authum Investment & Infrastructure
AJANTPHARM | Ajanta Pharma
ALKEM | Alkem Laboratories
AMBER | Amber Enterprises India
AMBUJACEM | Ambuja Cements
ANANDRATHI | Anand Rathi Wealth
ANANTRAJ | Anant Raj
ANGELONE | Angel One
ANTHEM | ANTHEM BIOSCIENCES LTD
ANURAS | Anupam Rasayan India
APARINDS | APAR Industries
APLAPOLLO | APL Apollo Tubes
APOLLOHOSP | Apollo Hospitals Enterprise
APOLLOTYRE | Apollo Tyres
APTUS | Aptus Value Housing Finance India
ARE&M | Amara Raja Energy & Mobility
ASAHIINDIA | Asahi India Glass
ASHOKLEY | Ashok Leyland
ASIANPAINT | Asian Paints
ASTERDM | Aster DM Healthcare
ASTRAL | Astral
ATGL | Adani Total Gas
ATHERENERG | Ather Energy
ATUL | Atul
AUBANK | AU Small Finance Bank
AUROPHARMA | Aurobindo Pharma
AWL | AWL Agri Business
AXISBANK | Axis Bank
BAJAJ-AUTO | Bajaj Auto
BAJAJFINSV | Bajaj Finserv
BAJAJHFL | BAJAJ HOUSING FINANCE LTD
BAJAJHLDNG | Bajaj Holdings & Investment
BAJFINANCE | Bajaj Finance
